question,reference_answer,reference_context,conversation_history,metadata
What is one recommended action to improve this?,One action is to look at your sales teams' calendars and see where they have standing meetings. Advocate for yourself to get on the agenda periodically as that will help drive the adoption of the material you are creating.,Document 35: by all this amazing intelligence from the field so make that make that change in your expectations and like with win loss where you're just do what you can at first build the case build that trust and the other thing I'm hearing is and you know maybe you call this out this this insight ties in nicely with with the first one that we discussed if there's one action I'm so far for everyone you know on this call it's you know look at your sales teams calendars see where they have those standing meetings maybe there's a daily stand-up or weekly whatever and if you don't already go go and you know advocate for yourself to get on the agenda periodically because that will you know kind of it's a two bird situation right that will help drive that drive that adoption the material is your creating also you know you'll start creating that that that feedback of intel back to yourself right and three birds I don't want to too crazy here but also as you're building that trust that'll help you with,"[{'role': 'user', 'content': ""We're discussing the adoption of competitive intelligence material.""}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 35, 'topic': 'Competitive Intelligence in Sales'}"
Who is in charge of monitoring it?,"Sheila Leihar, the senior director of content at Crayon, is monitoring the Q&A section in the State of competitive intelligence in 2023 session.","Document 0: Welcome everyone. Thank you for for joining us today for the State of competitive intelligence in 2023. My name is Connor. I'm on the content team here at crayon and I am joined today. I'm very happy today to be joined by Mimi in August who run competitive intelligence at Akamai and Deltech respectively. I am also joined today by Sheila Leihar who is our senior director of content here at crayon. She will be monitoring the the Q&A section. So periodically throughout today's session, I will I'll throw it over to Sheila and she will show chime in with some questions that we're getting from all of you. So please throughout this session, any questions that come around please put them in that Q&A section and you know if it aligns with what we're talking about, we will we'll discuss it in real time and then we also have some time set aside the end for questions that we aren't able to get to. We also have a poll question that we will push lives in just a minute. But first before I get to it","[{'role': 'user', 'content': ""Let's talk about the Q&A section in the State of competitive intelligence in 2023 session.""}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 0, 'topic': 'Competitive Intelligence in Sales'}"
What is its purpose?,The goal of the 'State of Competitive Intelligence' report is to be the source of truth for anyone who wants to know why and how companies invest in competitive intelligence programs.,"Document 2: in in 2018. So if you're familiar with, you know, HubSpot state of marketing or or Salesforce and state of sales that crown has the state of competitive intelligence, of course. So we published a new edition every year since 2018. The latest edition of the 2023 edition is number six. And it's based on a survey of more than more than 900 competitive intelligence leaders like me and August, as well as stakeholders, folks like sales reps and CSMs and other folks who use competitive intelligence throughout their day to day. And since the very beginning, the goal of state of CI has has never changed. The goal is to be the source of truth for anyone out there who wants to know why and how companies invest in competitive intelligence programs. So that's the state of CI. At the end, we will we'll give a shout out to the report itself. So you all know where to to get it. So you can go download if you haven't already. And yeah, like I said, the most of our time today will be spent walking","[{'role': 'user', 'content': ""There is a report called 'State of Competitive Intelligence'.""}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 2, 'topic': 'Competitive Intelligence in Sales'}"
What advice is given to them?,The advice given is to start simple with the KPIs. Some can be hard numbers while others can be more aspirational. An example of a hard number KPI is the number of battle cards.,Document 50: 16% of CI leaders said yes and this year 36% of CI leaders said yes that is a 125% increase you know since 2018 so folks are getting better and better at measuring the impact of competitive intelligence so maybe we'll we'll start with you if that's okay I'm curious for folks on the phone who do not have KPIs for their CI program any advice you have for those folks to to get started yeah I'm start simple and our our KPIs frankly are very very simple too at least we're about two years into the journey here at Alka Mai so a couple of KPIs some are hard numbers and others are a little bit more aspirational the hard numbers is number of battle cards right we started with technically zero there were existing battle cards that predated my my arrival that we converted but we wanted to have a good baseline again bait using the tears we wanted the tier one competitors covered and over time we will build more right to address all of the others so that's one KPI that you know is part of my team's,"[{'role': 'user', 'content': ""Let's consider those who do not have KPIs for their CI program.""}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 50, 'topic': 'Competitive Intelligence in Sales'}"
Can you tell me more about it?,"Building relationships with stakeholders in competitive intelligence is crucial. It involves showing your stakeholders that your team is responsible for enabling materials for competitive intelligence like battle cards. When you provide the assets that your stakeholders need, it creates goodwill and a relationship where valuable insights and information flow back to you. It's a long-term relationship play that can significantly aid in understanding competitors.",Document 32: and create those relationships so I think one of the first pieces when we first discuss this was I think it would be difficult to expect all of the insights and all the information's without putting in that hard work right of showing your stakeholders that your team is responsible for enabling materials for competitive intelligence for battle cards or what have you right I think when you show up with the assets that your stakeholders need then again that creates that goodwill that relationship where it comes back to you I think expecting that from the beginning it's just going to be harder much much harder I agree with the data I agree with probably everyone in this in a space getting information from the field is be most helpful ensuring up what you know about your competitors but that is a long-term relationship play I think more than anything else how about you August yeah I absolutely agree with with Mimi's comments that it is a long-term relationship play and you do have to,"[{'role': 'user', 'content': ""Let's talk about the importance of building relationships with stakeholders in the context of competitive intelligence.""}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 32, 'topic': 'Competitive Intelligence in Sales'}"
Can you explain why it wasn't as successful as anticipated?,The win loss analysis program at Akamai was not as successful as expected because they had a hard time connecting with customers. They did not end up getting the volume that they needed to adequately get insights.,"Document 18: customers and so my team has kind of backed up a little bit and started internally so win loss is not just talking to turned customers it's also you can have interviews and and have conversations with the reps that lost those customers skip those learnings as a starting point and so we found success in being able to grab those stories put that in our battle cards so that others can learn from those lessons and move from there but that's really the state of win loss in terms of a formal program here at Akamai we also use our Salesforce data for win loss analysis which is another component of it as well. That's a thank you how about you August your your yours would win loss and maybe a lesson or two learned along the way. Yeah so so win loss the return on the investment is really significant and I think you know Mimi's example for the program at HubSpot really bears that out and I would absolutely validate that based on win loss that I've done in my time at I British Telecom and Verizon

Document 17: bit about your your experiences with win loss analysis and it may be a less energy that you you've learned along the way. Sure win losses this is very very tricky I'd be interested to hear the experiences of folks listening in so previously I headed up competitive intelligence at HubSpot and we ran win loss with a third party vendor they would we would you know source loss customers and they would reach out interview summarize all of that good stuff it was really really effective it was reported out to leadership really successful program it was something that we wanted to do an Akamai same vendor same process really hard connect rates we we never ended up getting the volume that we needed to adequately get insights and so you know that was definitely a learning that maybe especially when as I was tasked on building a competitive program which included win loss that we didn't have to go full throttle and go for the like the nirvana state which is talking to lost customers and so my","[{'role': 'user', 'content': ""We're discussing the win loss analysis program at Akamai, which didn't meet expectations.""}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 18, 'topic': 'Customer Win-Loss Analysis'}"
What is the suggested approach in dealing with these?,"The suggested approach when dealing with complex requests from clients is to take time to understand the need, time box a certain amount of time, and recognize your own superpower within that small amount of time. It's also important to get really specific, engage, and clarify why the client is asking for what they're asking. Often, there's a very specific thing they're looking for, they just choose not to tell it right away.",Document 44: of feel like you know every every request that you know i i have to do exactly what they asked me to do and if it's like a 20 week engagement you know that that occupies all my time well i guess that's what i guess that's my life now basically and to say well you could probably do a lot for them if you took time to understand the need and time box a certain amount of time and you know recognize your own superpower within that small amount of time much more than you might think you can do thank you what do you think Mimi? August so elegantly wrapped up some of them what we experienced in a much kinder way which is sometimes you get these requests from restaurants like what are you asking you like you want us to boil the ocean right so getting really specific and engaging and and clarifying well why right usually most of time there's a very specific thing they're looking for they just choose not to tell us right until a couple of cycles but oftentimes it is a very reasonable request if,"[{'role': 'user', 'content': 'There are complex requests coming from our clients.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 44, 'topic': 'Competitive Intelligence in Sales'}"
Could you tell me one of the criteria used?,One of the criteria used to evaluate ad hoc project requests is alignment with strategic objectives.,Document 55: those projects and alignment with strategic objectives as well you know so taking it back to to mean these really excellent point about prioritization one of the hurdles or one of the you know linds is through which we look at ad hoc project requests is alignment with strategic objectives as well and so we are evaluating ourselves based on how well we're supporting each of those and i would add you know i i am for my team love this but i kind of want to track all of the requests that we get our way even the ones that we decline right because that proves again the value of the of the team and um i'm sure everyone feels the pain at a loose yeah teams are very very small and so um i can actually then you know quarterly or annual summary um show my leadership the projects or the requests that we decline due to lack of staff right it usually isn't enough to get things over the line but it's just kind of reinforces a the value that your team provides because you're getting all these,"[{'role': 'user', 'content': ""I'm interested in the evaluation process of ad hoc project requests.""}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 55, 'topic': 'Competitive Intelligence in Sales'}"
How often do they occur?,The readouts for the board and executive team are done quarterly.,Document 58: looped in on kind of the regular cadences the the the team meetings the regular like projects that we're a part of um we have take out campaigns for example where we go to market motions so our team is involved in that and so we just kind of plug in naturally um and then you know as we discuss with with august like the sales side is the kind of a constant update of like here's a new piece of a battle card here's a new insights here's whatever it is that is just more real time because we want to reinforce with those sellers that um someone a group is actively looking after that content and making sure that it's up to date and it's very similar situation on our side as well um so you know quarterly readouts for our board and our executive team quarterly readouts for the whole sales organization and then supplemented of course with like I said our monthly readout to the whole you know to the to the whole business and it's and that's geared more towards the you know the you know the the,"[{'role': 'user', 'content': ""I'm interested in the frequency of readouts for the board and executive team.""}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 58, 'topic': 'Competitive Intelligence in Sales'}"
What is one of those things according to her?,One of the most important things for people running competitive intelligence is to find ways to influence without necessarily having authority.,Document 11: hi but Carolyn runs market and competitive intelligence at affinity and she almost a year ago at one point we were talking about win loss and she said that one of the most important things for folks who are running CI is to find ways to influence without necessarily having authority right and I think to your point Mimi reaching out to those sellers who are using the content and finding ways to to maybe work with them that's one way in the absence of authority you can maybe hopefully start to influence the folks aren't using CI. That's so funny just just the chime in you know we ran a workshop with an analyst firm and when they found out that I was a sponsor in CI she said oh I used to do CI they have no power no influence and no money it's a really hard job and I was like thank you thank you for understanding so absolutely where you can find influence where you can find champions you gotta find you gotta do it. Absolutely and on the on the overcommunication thing before I throw it a,"[{'role': 'user', 'content': 'Carolyn from Affinity has shared her insights about the most important things for people running competitive intelligence.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 11, 'topic': 'Competitive Intelligence in Sales'}"
